Hole Label,Easting,Northing,Elevation
1,550939.534,575333.359,969.84
2,550942.548,575331.454,969.602
3,550945.22,575329.403,969.574
4,550945.601,575332.453,969.533
5,550943.225,575334.699,969.564
6,550940.358,575336.391,969.83
7,550935.356,575343.73,970.183
8,550938.066,575341.842,970.212
9,550940.494,575339.777,969.809
10,550943.369,575337.89,969.672
11,550945.895,575335.973,969.703
12,550948.728,575334.486,969.814
13,550950.94,575333.321,970.056
14,550951.295,575335.819,969.886
15,550949.007,575337.479,969.906
16,550946.465,575339.015,969.69
17,550943.414,575340.954,969.787
18,550940.53,575342.345,969.967
19,550938.295,575344.792,970.21
20,550935.714,575346.65,970.188
21,550932.855,575348.888,970.165
22,550930.311,575349.801,970.297
23,550927.66,575351.956,970.085
24,550924.844,575353.719,969.806
25,550927.707,575355.135,969.739
26,550930.484,575353.375,969.943
27,550932.804,575351.891,970.078
28,550935.539,575350.177,969.968
29,550937.897,575348.143,970.097
30,550940.714,575346.239,970.13
31,550943.432,575344.301,969.74
32,550945.885,575342.638,969.63
33,550948.384,575341.01,969.815
34,550951.104,575339.608,969.809
35,550949.284,575343.808,969.688
36,550946.532,575345.705,969.675
37,550943.905,575347.682,969.904
38,550941.252,575349.339,969.879
39,550938.492,575351.305,969.813
40,550935.69,575353.105,969.893
41,550933.353,575354.801,969.821
42,550930.909,575356.612,969.862
43,550928.094,575358.465,969.883
44,550930.939,575359.925,969.788
45,550933.388,575358.228,969.843
46,550935.941,575356.715,969.828
47,550938.019,575354.981,969.864
48,550941.162,575352.731,969.734
49,550943.89,575350.965,969.933
50,550946.763,575349.168,969.891
51,550949.653,575347.931,969.574
52,550952.414,575348.722,969.639
53,550949.988,575350.701,969.543
54,550946.884,575352.26,969.716
55,550944.122,575354.043,969.696
56,550941.448,575355.837,969.746
57,550939.052,575357.648,969.776
58,550936.277,575359.728,969.78
59,550934.001,575361.298,969.838
60,550933.878,575364.678,969.9
61,550936.743,575363.014,969.789
62,550939.202,575361.131,969.758
63,550941.798,575359.349,969.907
64,550944.642,575357.486,970.09
65,550947.352,575355.923,969.938
66,550949.618,575353.67,969.861
67,550952.286,575351.939,969.591
68,550954.92,575349.976,969.712
69,550955.221,575352.873,970.031
70,550952.912,575355.477,969.856
71,550949.986,575357.135,969.953
72,550947.429,575358.779,970.14
73,550944.833,575360.64,970.316
74,550942.01,575362.485,969.942
75,550939.496,575364.318,969.897
76,550936.968,575366.135,969.805
77,550939.56,575367.561,970.133
78,550942.358,575365.74,970.019
79,550944.817,575364.003,970.246
80,550947.133,575362.591,970.259
81,550950.17,575360.384,969.849
82,550952.448,575358.419,969.982
83,550955.294,575356.618,969.865
84,550938.201,575372.517,970.318
85,550936.885,575369.395,970.236
86,550934.364,575368.281,970.126
87,550931.597,575366.296,970.074
88,550931.117,575363.248,969.724
89,550928.17,575361.744,969.877
90,550925.826,575359.939,969.861
91,550924.706,575356.787,969.864
92,550922.177,575355.694,970.016
93,550922.407,575352.717,969.896
94,550924.65,575350.721,969.912
95,550927.563,575349.084,970.13
96,550930.193,575347.197,969.83
97,550932.179,575345.643,970.284
98,550932.773,575343.1,969.944
99,550935.798,575340.73,969.85
100,550937.772,575338.254,969.909
101,550937.211,575335.182,969.682
102,550934.67,575333.058,969.392
103,550936.853,575331.786,969.831
104,550939.617,575329.793,969.737
105,550942.228,575327.456,969.612
106,550944.225,575325.793,969.683
107,550947.626,575327.529,970.079
108,550948.457,575330.919,969.99
109,550951.811,575329.315,969.116
110,550953.769,575331.675,969.088
111,550953.903,575334.354,969.366
112,550955.831,575336.943,968.941
113,550953.175,575338.055,970.392
114,550953.961,575341.122,970.128
115,550952.295,575341.946,969.781
116,550953.4,575345.681,969.85
117,550955.127,575347.434,969.794
118,550957.004,575348.583,969.513
119,550956.996,575350.847,969.687
120,550959.258,575351.491,969.5
121,550957.442,575354.715,970.092
122,550960.446,575355.561,970.887
123,550960.447,575357.962,970.909
124,550958.495,575360.297,970.756
125,550956.149,575361.763,970.131
126,550953.379,575363.641,970.122
127,550950.693,575365.383,969.947
128,550948.093,575367.125,970.154
129,550945.127,575369.24,969.897
130,550943.101,575371.382,969.992
131,550940.869,575372.962,970.148
132,550958.177,575357.757,970.147
133,550955.623,575359.781,970.038
134,550953.357,575361.57,969.976
135,550950.716,575363.652,969.94
136,550947.987,575365.373,970.056
137,550945.663,575366.894,969.98
138,550943.068,575368.83,969.951
139,550940.491,575370.91,970.2
